UID,Name,2020-01-01_to_2020-01-31,2020-02-01_to_2020-02-29,2020-03-01_to_2020-03-31,2020-04-01_to_2020-04-30,2020-05-01_to_2020-05-31,2020-06-01_to_2020-06-30,2020-07-01_to_2020-07-31,2020-08-01_to_2020-08-31,2020-09-01_to_2020-09-30,2020-10-01_to_2020-10-31,2020-11-01_to_2020-11-30,2020-12-01_to_2020-12-31,2021-01-01_to_2021-01-31,2021-02-01_to_2021-02-28,2021-03-01_to_2021-03-31,2021-04-01_to_2021-04-30,2021-05-01_to_2021-05-31,2021-06-01_to_2021-06-30,2021-07-01_to_2021-07-31,2021-08-01_to_2021-08-31,2021-09-01_to_2021-09-30,2021-10-01_to_2021-10-31,2021-11-01_to_2021-11-30,2021-12-01_to_2021-12-31,2022-01-01_to_2022-01-31,2022-02-01_to_2022-02-28,2022-03-01_to_2022-03-31,2022-04-01_to_2022-04-30,2022-05-01_to_2022-05-31,2022-06-01_to_2022-06-30,2022-07-01_to_2022-07-31,2022-08-01_to_2022-08-31,2022-09-01_to_2022-09-30,2022-10-01_to_2022-10-31,2022-11-01_to_2022-11-30,2022-12-01_to_2022-12-31,2023-01-01_to_2023-01-31,2023-02-01_to_2023-02-28,2023-03-01_to_2023-03-31,2023-04-01_to_2023-04-30,2023-05-01_to_2023-05-31,2023-06-01_to_2023-06-30,2023-07-01_to_2023-07-31,2023-08-01_to_2023-08-31
57d6bb900211a6b7290001a8,Merge Dragons!,1437990.0,1464493.0,1985239.0,1609096.0,1041370.0,1061245.0,1035898.0,915316.0,1225653.0,1239271.0,1229822.0,921013.0,964487.0,839803.0,705526.0,708833.0,653527.0,663392.0,606704.0,425517.0,400998.0,567822.0,459907.0,640084.0,596087.0,488769.0,492063.0,484340.0,564777.0,455530.0,463223.0,487458.0,447241.0,464690.0,533204.0,532723.0,622111.0,592835.0,606751.0,558114.0,482159.0,536625.0,596765.0,459075.0
55c5328b02ac64f9c0002e8b,Toy Blast,1306923.0,1045137.0,1119746.0,1202194.0,965711.0,859924.0,842517.0,827897.0,828838.0,1067453.0,852683.0,963810.0,1153108.0,599130.0,698173.0,985780.0,678353.0,523905.0,546368.0,558622.0,413061.0,392093.0,383245.0,448264.0,543865.0,410881.0,364808.0,374518.0,444074.0,825062.0,417052.0,430963.0,451631.0,422644.0,270661.0,387991.0,596824.0,250506.0,241738.0,266054.0,191999.0,176952.0,171716.0,214261.0
593841480211a63b60000a27,Matchington Mansion,2598641.0,1797106.0,2144809.0,2587582.0,2617678.0,3774584.0,7019957.0,7224414.0,4241761.0,2530126.0,2154947.0,1869013.0,2252242.0,1641395.0,1393764.0,1701355.0,1556359.0,1461052.0,1100669.0,3002665.0,3505867.0,3271183.0,2053399.0,2299947.0,2428198.0,1784390.0,1762354.0,1534571.0,1499219.0,1581251.0,1200448.0,1069926.0,1243471.0,1579728.0,1275144.0,1027888.0,1153503.0,1061837.0,800726.0,790912.0,987768.0,559036.0,1110990.0,941048.0
55d93de502ac645ad20eba65,开心消消乐®,1016327.0,1141127.0,774042.0,711538.0,618298.0,542168.0,643199.0,679590.0,574092.0,679164.0,760647.0,760190.0,862088.0,820677.0,865758.0,994254.0,1042909.0,872720.0,924523.0,904542.0,925625.0,933252.0,915086.0,832829.0,1181088.0,979789.0,1024451.0,873058.0,817760.0,822096.0,950375.0,977437.0,985319.0,864609.0,801700.0,843147.0,1131720.0,838211.0,899333.0,882273.0,857641.0,933895.0,1120779.0,1021527.0
55c528bc02ac64f9c0002b7a,LINE ポコポコ,68056.0,78296.0,78685.0,63923.0,83324.0,45147.0,60033.0,58353.0,57441.0,71052.0,56960.0,76316.0,73247.0,46831.0,63036.0,47761.0,62171.0,52615.0,65507.0,63603.0,49447.0,39762.0,37405.0,56351.0,54041.0,42346.0,175944.0,65448.0,50600.0,35073.0,49428.0,53439.0,70184.0,35624.0,47232.0,41548.0,51650.0,39080.0,45416.0,41818.0,39322.0,35050.0,42233.0,40535.0
5be4ffa2da35f115404e57be,Lily’s Garden - Design & Relax,1223462.0,1224913.0,1725365.0,2250740.0,1683611.0,1428037.0,2433716.0,2072993.0,1811089.0,1822655.0,1269788.0,1380109.0,1256941.0,1163593.0,1890680.0,2353394.0,1083077.0,1005763.0,887939.0,996959.0,1274320.0,1468167.0,1435800.0,1619948.0,2406881.0,2570083.0,2752964.0,2465438.0,1977561.0,1556889.0,1463041.0,1276125.0,958673.0,829522.0,722838.0,885037.0,1056377.0,1140735.0,1043487.0,592563.0,718832.0,580841.0,527457.0,564727.0
55c52f2002ac64f9c0002d6c,Best Fiends - Puzzle Game,1063653.0,860667.0,955238.0,1078135.0,807794.0,648830.0,643555.0,686155.0,633995.0,755386.0,429517.0,285539.0,612144.0,575449.0,495282.0,706386.0,707824.0,2087473.0,1305570.0,273270.0,463541.0,490914.0,379698.0,324370.0,327017.0,354983.0,328839.0,299262.0,307576.0,263166.0,317146.0,257451.0,248108.0,246500.0,317021.0,354381.0,357454.0,323274.0,333912.0,226008.0,189305.0,400918.0,320996.0,204844.0
589a7f2d9ed8007709000591,June’s Journey: Murder Mystery,1663368.0,1494648.0,1761751.0,2266539.0,1677758.0,1257158.0,1411277.0,995324.0,916604.0,902907.0,798991.0,826378.0,982384.0,1059377.0,1025604.0,930275.0,1709929.0,5192486.0,3121966.0,818755.0,1658786.0,742061.0,568736.0,737890.0,742463.0,550512.0,626812.0,540169.0,760645.0,698921.0,706546.0,566184.0,556495.0,561749.0,474339.0,620521.0,1181903.0,966996.0,966793.0,746947.0,681695.0,856916.0,735678.0,659945.0
5919fd19ee05f407440011a7,Wordscapes,2004679.0,1623094.0,1835220.0,1615513.0,1474553.0,1149304.0,1398884.0,1329497.0,1085899.0,1464499.0,2209553.0,3100920.0,3077609.0,1830806.0,2794751.0,4006245.0,2423363.0,1949653.0,1872145.0,2176219.0,2174075.0,2645371.0,2423871.0,4320371.0,3388348.0,2049942.0,1813056.0,1786536.0,1518042.0,1766911.0,1968585.0,1928462.0,1704090.0,1809832.0,1964567.0,2096697.0,1902934.0,1473201.0,1608805.0,1513267.0,1754811.0,2107477.0,2137455.0,1864008.0
5d4135b38daa9648600d23d3,Merge Magic!,1012376.0,809919.0,751797.0,665339.0,491086.0,434233.0,434187.0,420846.0,420068.0,257989.0,436068.0,279307.0,350221.0,529707.0,359174.0,289371.0,276908.0,322133.0,335855.0,118220.0,63903.0,66669.0,56934.0,54010.0,51461.0,38237.0,36324.0,28278.0,27190.0,20979.0,21733.0,22325.0,26635.0,17281.0,11862.0,10772.0,13465.0,14464.0,32667.0,29162.0,38547.0,31721.0,24101.0,27399.0
