UID,Name,2020-01-01_to_2020-01-31,2020-02-01_to_2020-02-29,2020-03-01_to_2020-03-31,2020-04-01_to_2020-04-30,2020-05-01_to_2020-05-31,2020-06-01_to_2020-06-30,2020-07-01_to_2020-07-31,2020-08-01_to_2020-08-31,2020-09-01_to_2020-09-30,2020-10-01_to_2020-10-31,2020-11-01_to_2020-11-30,2020-12-01_to_2020-12-31,2021-01-01_to_2021-01-31,2021-02-01_to_2021-02-28,2021-03-01_to_2021-03-31,2021-04-01_to_2021-04-30,2021-05-01_to_2021-05-31,2021-06-01_to_2021-06-30,2021-07-01_to_2021-07-31,2021-08-01_to_2021-08-31,2021-09-01_to_2021-09-30,2021-10-01_to_2021-10-31,2021-11-01_to_2021-11-30,2021-12-01_to_2021-12-31,2022-01-01_to_2022-01-31,2022-02-01_to_2022-02-28,2022-03-01_to_2022-03-31,2022-04-01_to_2022-04-30,2022-05-01_to_2022-05-31,2022-06-01_to_2022-06-30,2022-07-01_to_2022-07-31,2022-08-01_to_2022-08-31,2022-09-01_to_2022-09-30,2022-10-01_to_2022-10-31,2022-11-01_to_2022-11-30,2022-12-01_to_2022-12-31,2023-01-01_to_2023-01-31,2023-02-01_to_2023-02-28,2023-03-01_to_2023-03-31,2023-04-01_to_2023-04-30,2023-05-01_to_2023-05-31,2023-06-01_to_2023-06-30,2023-07-01_to_2023-07-31,2023-08-01_to_2023-08-31
57d6bb900211a6b7290001a8,Merge Dragons!,13940784.43,13320686.99,14822979.7,18943933.62,19157062.07,15107999.56,12357084.16,12651982.06,12824071.1,13152167.15,12792631.34,12745147.39,13379653.51,12114173.27,12644836.52,11918488.27,12295347.17,10546694.16,10405701.18,9884472.16,9536780.35,9634634.7,8403493.6,9634608.34,10653191.91,9641164.04,10344644.74,9567704.74,10039062.02,9740472.41,9432520.38,9583712.86,9344165.63,9315769.67,9276548.98,10377594.85,10609681.58,10061840.12,10650117.98,9927670.64,9577206.84,9159416.62,9054929.98,8760667.16
55c5328b02ac64f9c0002e8b,Toy Blast,11769432.84,10558312.14,11825238.09,12821022.82,13592697.74,12397068.23,12462875.86,11947484.92,11027458.35,11935453.47,10966452.95,12780062.38,14522590.82,12493884.83,12997980.54,12698439.47,12909008.67,11942035.59,12015486.87,11851743.44,11400218.13,10734035.93,9820962.31,10298200.78,11081592.23,10247800.53,11106603.1,10072127.49,9472071.46,8785616.84,9047649.63,8493529.23,7664677.16,7193046.8,6552502.79,7056427.35,7958168.98,7080452.02,7937584.25,7282755.01,7030376.45,6649965.24,7063354.04,7123505.36
593841480211a63b60000a27,Matchington Mansion,11037697.75,10353790.05,11205803.04,12354440.36,13266581.84,12135746.78,12358955.28,13832424.44,13748970.24,14097652.61,12638655.12,12251633.13,12165124.54,9896278.46,10725435.29,9862678.24,9656891.92,8598868.72,8945661.14,9116976.13,8883528.62,9139653.92,7558879.28,8275544.75,7394963.51,6438481.14,6151723.55,5766945.89,5191282.61,5004422.0,5313133.1,4991986.86,4610472.61,5400089.77,4993457.83,5847893.39,5574014.34,5217352.63,5110079.41,4525189.46,4596791.05,4241329.73,4028205.17,4161911.04
55d93de502ac645ad20eba65,开心消消乐®,6534346.02,6696202.98,5829092.09,5443207.84,5817701.64,4909693.96,4534591.8,4665370.2,3844424.87,4104011.11,4687816.64,5959030.08,5334977.08,4532362.21,5801764.43,5553316.99,6036063.2,6192094.42,6667120.7,6069901.35,5288588.44,5879361.21,5469322.85,5072736.93,5465368.02,5893278.77,6979489.83,6177072.86,5463003.99,5699481.93,6031300.79,5882939.27,5777506.8,5955598.69,5217355.08,5889279.79,5908839.3,6235413.85,7389605.3,7256669.59,7196175.45,7077709.41,7165885.12,6471612.96
55c528bc02ac64f9c0002b7a,LINE ポコポコ,6512658.56,7402190.02,8613951.96,7683288.5,8932129.57,6776966.78,6603158.29,7507249.22,8492612.38,7211908.91,6106856.88,7978689.99,8373548.42,7290790.77,7892074.06,9140441.8,8492358.4,7355601.37,6970501.96,10265860.55,10269496.12,8741639.44,7873190.19,7697544.17,7508398.23,7639607.22,7794547.24,7360981.87,7052788.02,6688435.91,7430012.19,6645024.42,6461901.52,5691602.31,5859884.08,6741914.14,6576692.73,6341524.82,6169228.94,5726046.11,5675212.26,5135356.74,5248876.54,5209787.67
5be4ffa2da35f115404e57be,Lily’s Garden - Design & Relax,6184005.7,6762749.6,8222888.75,9184435.11,9893836.67,9694857.61,11500228.65,12452800.82,13019696.66,13575785.47,11688977.76,10669344.72,10381307.65,8001394.4,8593738.49,8239124.29,7751820.36,6794175.1,6992365.81,7114154.28,7050493.92,7472576.62,6808528.53,7500843.54,7305655.49,7016359.8,7461020.94,6539294.54,6112028.61,5453339.51,5614301.66,4971098.27,4799816.3,4766884.51,4809499.45,4897441.48,4649657.07,4455210.92,4769150.0,4297122.61,4455865.47,4126755.66,4042497.69,3715207.97
55c52f2002ac64f9c0002d6c,Best Fiends - Puzzle Game,5833664.37,5865208.24,6374004.24,6975121.61,7138097.29,6388082.09,6485075.28,6235884.45,5739024.49,5739910.3,5603115.84,5924370.98,6559023.8,6053821.0,7104021.2,7067160.19,7172620.74,6990397.08,7433589.2,6800227.6,6658908.23,7144937.68,7047306.16,7416940.48,7621396.54,7039969.98,7572487.57,6791838.58,6629402.93,6113772.85,6215398.69,5934686.39,5394754.96,5696059.84,5479234.78,5958922.95,5830754.17,5383363.73,5765153.66,5586638.36,5099022.1,5021165.51,5033591.93,4957386.28
589a7f2d9ed8007709000591,June’s Journey: Murder Mystery,5601943.52,5872357.95,6845599.39,8305602.92,8986187.33,8723139.26,8784188.58,8537918.13,7870223.82,8109240.74,7794257.74,7754966.71,8959801.03,8424730.25,9418357.19,8951274.19,9528843.02,8010034.34,8641714.79,9120778.78,11327183.78,13456468.62,10439021.31,13036044.97,14216347.63,9331271.97,13163161.77,14131022.12,11923045.08,12455401.04,12811712.41,11308696.04,13245757.73,12446316.99,11795967.36,12958250.33,11581491.39,12107536.93,15280590.09,14769888.06,15803578.29,14687701.94,15457861.08,16798535.5
5919fd19ee05f407440011a7,Wordscapes,5559252.9,5301780.68,5479229.14,5452138.51,5514581.15,4880865.26,5133961.87,5184850.04,4530211.98,4425423.83,4197917.22,4485102.13,5024182.34,4010728.65,4246341.85,4061758.33,3861581.88,3595251.17,3732810.98,3867513.72,4203608.82,4774725.34,4297551.74,4741081.66,5366357.15,4272053.71,4588912.46,4312924.54,3966228.62,3594221.31,3961817.36,4359106.37,4048615.1,4193725.42,3751173.35,4121079.62,4090831.71,3382871.14,3676674.8,3475126.91,3343959.59,3403211.69,3485890.38,4606167.66
5d4135b38daa9648600d23d3,Merge Magic!,5405044.36,5563714.95,5878024.87,6343626.8,7337045.15,5708842.44,5188721.74,4452294.04,4411609.17,3798947.31,3422922.07,3254109.69,3424099.74,2968249.66,3276143.37,3125492.33,2910495.2,2470998.05,2485486.93,2361289.34,2100528.17,1923979.83,1527595.57,1518140.64,1466899.5,1267020.43,1225031.92,1112957.55,1174014.1,1014985.42,1001865.05,905148.2,810071.89,757215.69,656854.08,662319.34,690699.34,636656.67,695747.55,634018.41,709861.84,707047.35,748577.88,697539.58
563154b702ac640cd3000033,妖怪ウォッチ ぷにぷに,5319108.32,4095358.49,3791329.69,4455579.87,5838243.46,4994649.95,4850206.29,4045114.72,3792698.74,3981932.14,5638986.46,5539676.05,5177835.74,4665097.01,4089404.47,3432328.6,4264759.54,3433062.16,4761839.42,5193423.38,4565559.41,3790030.25,3841001.71,7799274.39,7456299.23,5528311.02,4135674.45,3346153.28,3787290.12,4952725.74,2840154.16,10450824.2,2554955.22,3084860.46,2833020.39,4602879.99,4246892.47,2724438.98,2343399.75,2329996.4,3134811.29,3885808.79,9584219.26,5550378.31
58b8dcf9d9cbe60d0b000cdb,Candy Crush Friends Saga,5292135.15,4783446.12,5340404.5,6440386.73,6227327.84,5363416.62,5375489.44,4884206.59,4343364.41,4299565.53,3830789.51,3913663.83,4497270.69,3651924.23,4201995.81,3889517.36,3485844.32,3236550.56,3105412.9,3205226.79,3181963.71,3292939.99,2897016.08,3293097.15,3184422.98,2740251.16,2986623.2,2478485.14,2421384.48,2218770.54,2229947.58,2174026.15,1875215.58,1839314.41,1736911.0,1765772.01,1736765.0,1560441.33,1695916.06,1542457.59,1564777.28,1475611.95,1424353.68,1352024.29
